,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_0,job_1,marital_0,marital_1,education_0,education_1,default_0,default_1,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,month_0,month_1,day_of_week_0,day_of_week_1,poutcome_0,poutcome_1
0,37.0,3,999,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0.1537147736976943,0.013663535439795047,0.12889028607356176,0.006601697579377554,0.14196762141967623,0.0136986301369863,0.12529663028001897,0.005695301376364499,0.13181242078580482,0.006759611322348965,0.12986111111111112,0.005787037037037037,0.12332439678284182,0.005957700327673518,0.13717805151175813,0.007838745800671893,0.14933837429111532,0.013232514177693762,0.14097744360902256,0.020676691729323307
1,34.0,7,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0.13068181818181818,0.0125,0.12889028607356176,0.006601697579377554,0.15226939970717424,0.016105417276720352,0.12529663028001897,0.005695301376364499,0.12374461979913917,0.007173601147776184,0.12986111111111112,0.005787037037037037,0.13558441558441559,0.008311688311688312,0.12875536480686695,0.016094420600858368,0.10772163965681601,0.015252621544327931,0.1267205593183308,0.005462093074065982
2,59.0,4,999,0,1.4,94.465,-41.8,4.864,5228.1,0.13068181818181818,0.0125,0.12889028607356176,0.006601697579377554,0.16182572614107885,0.04149377593360996,0.12529663028001897,0.005695301376364499,0.13181242078580482,0.006759611322348965,0.12986111111111112,0.005787037037037037,0.13558441558441559,0.008311688311688312,0.13722627737226278,0.016058394160583942,0.10772163965681601,0.015252621544327931,0.1267205593183308,0.005462093074065982
3,28.0,2,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0.1187683284457478,0.010263929618768328,0.12432432432432433,0.00945945945945946,0.1261319534282018,0.009702457956015523,0.12529663028001897,0.005695301376364499,0.12374461979913917,0.007173601147776184,0.12986111111111112,0.005787037037037037,0.12332439678284182,0.005957700327673518,0.13717805151175813,0.007838745800671893,0.14933837429111532,0.013232514177693762,0.1267205593183308,0.005462093074065982
4,36.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0.1187683284457478,0.010263929618768328,0.12889028607356176,0.006601697579377554,0.14196762141967623,0.0136986301369863,0.12529663028001897,0.005695301376364499,0.13181242078580482,0.006759611322348965,0.12986111111111112,0.005787037037037037,0.13558441558441559,0.008311688311688312,0.13717805151175813,0.007838745800671893,0.13658536585365855,0.010731707317073172,0.1267205593183308,0.005462093074065982
5,51.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0.13068181818181818,0.0125,0.12889028607356176,0.006601697579377554,0.15226939970717424,0.016105417276720352,0.13764044943820225,0.011235955056179775,0.13181242078580482,0.006759611322348965,0.12986111111111112,0.005787037037037037,0.13558441558441559,0.008311688311688312,0.13717805151175813,0.007838745800671893,0.10772163965681601,0.015252621544327931,0.1267205593183308,0.005462093074065982
6,35.0,1,3,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,0.11962616822429907,0.022429906542056073,0.12889028607356176,0.006601697579377554,0.16216216216216217,0.037162162162162164,0.12529663028001897,0.005695301376364499,0.13181242078580482,0.006759611322348965,0.12986111111111112,0.005787037037037037,0.12332439678284182,0.005957700327673518,0.13717805151175813,0.007838745800671893,0.13606710158434296,0.012115563839701771,0.15544041450777202,0.05181347150259067
7,32.0,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0.1187683284457478,0.010263929618768328,0.12889028607356176,0.006601697579377554,0.11137820512820513,0.01201923076923077,0.12529663028001897,0.005695301376364499,0.12374461979913917,0.007173601147776184,0.12986111111111112,0.005787037037037037,0.12332439678284182,0.005957700327673518,0.13717805151175813,0.007838745800671893,0.13658536585365855,0.010731707317073172,0.1267205593183308,0.005462093074065982
8,49.0,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0.1187683284457478,0.010263929618768328,0.12889028607356176,0.006601697579377554,0.16216216216216217,0.037162162162162164,0.13764044943820225,0.011235955056179775,0.13181242078580482,0.006759611322348965,0.11497005988023952,0.013173652694610778,0.13558441558441559,0.008311688311688312,0.13717805151175813,0.007838745800671893,0.13016710642040458,0.010554089709762533,0.1267205593183308,0.005462093074065982
9,31.0,4,999,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0.14871794871794872,0.028205128205128206,0.12432432432432433,0.00945945945945946,0.1261319534282018,0.009702457956015523,0.12529663028001897,0.005695301376364499,0.12374461979913917,0.007173601147776184,0.12986111111111112,0.005787037037037037,0.12332439678284182,0.005957700327673518,0.13717805151175813,0.007838745800671893,0.13016710642040458,0.010554089709762533,0.14097744360902256,0.020676691729323307
